date,g,f,m,i,p,ticker
6/18/2015,0.866,0.298,0.22,0.648,30.59,VECO
6/19/2015,0.868,0.3,0.218,0.65,30.95,VECO
6/22/2015,0.868,0.31,0.23,0.65,30.64,VECO
6/23/2015,0.868,0.308,0.214,0.654,31.01,VECO
6/24/2015,0.868,0.31,0.222,0.652,30.64,VECO
6/25/2015,0.868,0.31,0.218,0.654,30.12,VECO
6/26/2015,0.87,0.31,0.206,0.658,29.81,VECO
6/29/2015,0.868,0.312,0.204,0.658,28.88,VECO
6/30/2015,0.87,0.31,0.186,0.666,28.74,VECO
7/1/2015,0.87,0.312,0.178,0.668,28.65,VECO
7/2/2015,0.872,0.312,0.174,0.67,28.23,VECO
7/3/2015,0.874,0.314,0.168,0.672,28.23,VECO
7/6/2015,0.874,0.314,0.17,0.672,28.24,VECO
7/7/2015,0.874,0.314,0.172,0.672,28.39,VECO
7/8/2015,0.872,0.316,0.176,0.67,27.31,VECO
7/9/2015,0.872,0.316,0.16,0.676,26.98,VECO
7/10/2015,0.872,0.316,0.162,0.676,28.22,VECO
7/13/2015,0.872,0.314,0.186,0.666,28.55,VECO
7/14/2015,0.872,0.316,0.194,0.664,28.11,VECO
7/15/2015,0.872,0.316,0.178,0.67,27.66,VECO
7/16/2015,0.872,0.314,0.176,0.67,27.2,VECO
7/17/2015,0.87,0.314,0.164,0.674,27.08,VECO
7/20/2015,0.874,0.314,0.164,0.674,26.9,VECO
7/21/2015,0.87,0.314,0.17,0.672,26.9,VECO
7/22/2015,0.868,0.316,0.172,0.67,26.64,VECO
7/23/2015,0.868,0.316,0.166,0.672,26.8,VECO
7/24/2015,0.868,0.316,0.172,0.67,26.06,VECO
7/27/2015,0.862,0.316,0.158,0.674,25.98,VECO
7/28/2015,0.862,0.32,0.16,0.674,26.19,VECO
7/29/2015,0.86,0.324,0.158,0.676,26.05,VECO
7/30/2015,0.86,0.322,0.15,0.678,25.99,VECO
7/31/2015,0.862,0.32,0.156,0.676,25.88,VECO
8/3/2015,0.86,0.32,0.15,0.676,25.77,VECO
8/4/2015,0.862,0.322,0.146,0.68,24.0,VECO
8/5/2015,0.85,0.322,0.154,0.674,24.01,VECO
8/6/2015,0.848,0.324,0.158,0.672,23.85,VECO
8/7/2015,0.85,0.324,0.156,0.674,23.73,VECO
8/10/2015,0.85,0.328,0.152,0.676,24.2,VECO
8/11/2015,0.85,0.328,0.15,0.676,23.45,VECO
8/12/2015,0.85,0.328,0.138,0.68,23.55,VECO
8/13/2015,0.848,0.328,0.136,0.68,23.29,VECO
8/14/2015,0.848,0.328,0.138,0.68,23.09,VECO
8/17/2015,0.848,0.328,0.13,0.682,23.18,VECO
8/18/2015,0.85,0.328,0.132,0.682,22.91,VECO
8/19/2015,0.85,0.33,0.13,0.684,23.0,VECO
8/20/2015,0.85,0.332,0.138,0.682,22.31,VECO
8/21/2015,0.85,0.332,0.126,0.686,22.34,VECO
8/24/2015,0.85,0.332,0.138,0.682,21.93,VECO
8/25/2015,0.848,0.33,0.128,0.684,21.79,VECO
8/26/2015,0.848,0.33,0.128,0.682,22.23,VECO
8/27/2015,0.848,0.33,0.14,0.68,23.15,VECO
8/28/2015,0.848,0.33,0.156,0.674,23.22,VECO
8/31/2015,0.848,0.33,0.156,0.674,23.07,VECO
9/1/2015,0.848,0.332,0.156,0.674,22.7,VECO
9/2/2015,0.848,0.332,0.158,0.674,22.74,VECO
9/3/2015,0.848,0.332,0.156,0.674,23.04,VECO
9/4/2015,0.848,0.332,0.154,0.674,22.71,VECO
9/7/2015,0.848,0.332,0.156,0.674,22.71,VECO
9/8/2015,0.848,0.332,0.154,0.674,23.38,VECO
9/9/2015,0.848,0.334,0.158,0.674,22.78,VECO
9/10/2015,0.848,0.334,0.152,0.676,22.64,VECO
9/11/2015,0.85,0.334,0.146,0.68,22.38,VECO
9/14/2015,0.83,0.336,0.128,0.68,22.0,VECO
9/15/2015,0.828,0.336,0.12,0.682,22.5,VECO
9/16/2015,0.83,0.338,0.136,0.678,22.9,VECO
9/17/2015,0.83,0.336,0.138,0.676,22.48,VECO
9/18/2015,0.828,0.338,0.128,0.68,21.98,VECO
9/21/2015,0.828,0.336,0.112,0.684,21.85,VECO
9/22/2015,0.828,0.338,0.112,0.684,21.26,VECO
9/23/2015,0.828,0.338,0.108,0.686,20.8,VECO
9/24/2015,0.828,0.34,0.108,0.686,20.76,VECO
9/25/2015,0.826,0.34,0.102,0.688,20.41,VECO
9/28/2015,0.826,0.342,0.094,0.692,19.97,VECO
9/29/2015,0.826,0.342,0.096,0.69,20.08,VECO
9/30/2015,0.826,0.342,0.098,0.69,20.51,VECO
10/1/2015,0.826,0.34,0.098,0.69,20.14,VECO
10/2/2015,0.826,0.34,0.092,0.692,20.6,VECO
10/5/2015,0.828,0.34,0.096,0.69,20.93,VECO
10/6/2015,0.83,0.338,0.088,0.694,20.85,VECO
10/7/2015,0.83,0.336,0.088,0.692,20.9,VECO
10/8/2015,0.828,0.336,0.082,0.694,21.0,VECO
10/9/2015,0.828,0.336,0.08,0.696,21.09,VECO
10/12/2015,0.828,0.338,0.08,0.696,20.77,VECO
10/13/2015,0.828,0.34,0.078,0.696,20.03,VECO
10/14/2015,0.828,0.34,0.07,0.7,20.36,VECO
10/15/2015,0.826,0.34,0.08,0.696,20.49,VECO
10/16/2015,0.828,0.342,0.08,0.698,20.23,VECO
10/19/2015,0.828,0.344,0.08,0.696,20.14,VECO
10/20/2015,0.828,0.344,0.078,0.698,20.17,VECO
10/21/2015,0.826,0.344,0.076,0.698,20.17,VECO
10/22/2015,0.826,0.346,0.076,0.698,20.4,VECO
10/23/2015,0.824,0.344,0.078,0.696,20.69,VECO
10/26/2015,0.824,0.346,0.078,0.698,20.41,VECO
10/27/2015,0.822,0.348,0.078,0.696,20.54,VECO
10/28/2015,0.822,0.346,0.09,0.692,20.82,VECO
10/29/2015,0.824,0.348,0.08,0.696,18.26,VECO
10/30/2015,0.968,0.104,0.428,0.548,18.02,VECO
11/2/2015,0.968,0.102,0.416,0.552,18.71,VECO
11/3/2015,0.97,0.104,0.438,0.544,19.405,VECO
11/4/2015,0.97,0.102,0.46,0.538,19.23,VECO
11/5/2015,0.97,0.104,0.446,0.542,19.41,VECO
11/6/2015,0.97,0.104,0.452,0.54,19.69,VECO
11/9/2015,0.97,0.104,0.46,0.538,19.38,VECO
11/10/2015,0.972,0.104,0.45,0.542,18.94,VECO
11/11/2015,0.97,0.102,0.43,0.548,18.98,VECO
11/12/2015,0.972,0.102,0.436,0.546,18.42,VECO
11/13/2015,0.974,0.102,0.426,0.55,18.54,VECO
11/16/2015,0.974,0.102,0.432,0.548,19.39,VECO
11/17/2015,0.974,0.1,0.46,0.538,19.09,VECO
11/18/2015,0.972,0.1,0.448,0.542,19.77,VECO
11/19/2015,0.97,0.104,0.47,0.534,19.68,VECO
